"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2468","can filter by categories Power Tools","firefox","Tue Apr 01 09:12:19 GMT 2025","passed","Tue Apr 01 09:12:21 GMT 2025","Home Page","","",""
"","1723","can sort by Price (High - Low)","chromium","Tue Apr 01 09:12:00 GMT 2025","passed","Tue Apr 01 09:12:02 GMT 2025","Home Page","","",""
"","3521","can filter by categories Power Tools","webkit","Tue Apr 01 09:12:52 GMT 2025","passed","Tue Apr 01 09:12:55 GMT 2025","Home Page","","",""
"","2645","can filter by categories Hand Saw","firefox","Tue Apr 01 09:12:16 GMT 2025","passed","Tue Apr 01 09:12:19 GMT 2025","Home Page","","",""
"","5441","should login with valid credentials for admin@practicesoftwaretesting.com","webkit","Tue Apr 01 09:13:06 GMT 2025","passed","Tue Apr 01 09:13:11 GMT 2025","Login Page","","",""
"","1906","can search for hammer","chromium","Tue Apr 01 09:11:45 GMT 2025","passed","Tue Apr 01 09:11:47 GMT 2025","Home Page","","",""
"","6187","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","webkit","Tue Apr 01 09:12:55 GMT 2025","passed","Tue Apr 01 09:13:02 GMT 2025","Home Page","","",""
"","5057","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","firefox","Tue Apr 01 09:12:21 GMT 2025","passed","Tue Apr 01 09:12:26 GMT 2025","Home Page","","",""
"","1852","can search for nail","chromium","Tue Apr 01 09:11:45 GMT 2025","passed","Tue Apr 01 09:11:47 GMT 2025","Home Page","","",""
"","3499","can sort by Name (A - Z)","webkit","Tue Apr 01 09:12:59 GMT 2025","passed","Tue Apr 01 09:13:02 GMT 2025","Home Page","","",""
"","3448","can sort by Price (Low - High)","webkit","Tue Apr 01 09:13:02 GMT 2025","passed","Tue Apr 01 09:13:06 GMT 2025","Home Page","","",""
"","2104","should not login with invalid credentials for admin@practicesoftwaretesting.com","firefox","Tue Apr 01 09:12:33 GMT 2025","passed","Tue Apr 01 09:12:35 GMT 2025","Login Page","","",""
"","3514","should successfully sign out","chromium","Tue Apr 01 09:12:06 GMT 2025","passed","Tue Apr 01 09:12:10 GMT 2025","Login Page","","",""
"","4424","should successfully sign out","firefox","Tue Apr 01 09:12:35 GMT 2025","passed","Tue Apr 01 09:12:40 GMT 2025","Login Page","","",""
"","2888","should login with valid credentials for customer@practicesoftwaretesting.com","firefox","Tue Apr 01 09:12:30 GMT 2025","passed","Tue Apr 01 09:12:33 GMT 2025","Login Page","","",""
"","1719","can sort by Price (Low - High)","chromium","Tue Apr 01 09:12:00 GMT 2025","passed","Tue Apr 01 09:12:01 GMT 2025","Home Page","","",""
"","4660","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","chromium","Tue Apr 01 09:11:55 GMT 2025","passed","Tue Apr 01 09:12:00 GMT 2025","Home Page","","",""
"","4291","can filter by categories Screwdriver, Chisels","webkit","Tue Apr 01 09:12:55 GMT 2025","passed","Tue Apr 01 09:12:59 GMT 2025","Home Page","","",""
"","1750","can search for thor hammer","chromium","Tue Apr 01 09:11:47 GMT 2025","passed","Tue Apr 01 09:11:49 GMT 2025","Home Page","","",""
"","2477","should login with valid credentials for customer2@practicesoftwaretesting.com","chromium","Tue Apr 01 09:12:04 GMT 2025","passed","Tue Apr 01 09:12:06 GMT 2025","Login Page","","",""
"","2199","can search for screw","firefox","Tue Apr 01 09:12:12 GMT 2025","passed","Tue Apr 01 09:12:14 GMT 2025","Home Page","","",""
"","2040","can sort by Name (Z - A)","firefox","Tue Apr 01 09:12:26 GMT 2025","passed","Tue Apr 01 09:12:28 GMT 2025","Home Page","","",""
"","2023","can search for thor hammer","firefox","Tue Apr 01 09:12:14 GMT 2025","passed","Tue Apr 01 09:12:16 GMT 2025","Home Page","","",""
"","1848","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","chromium","Tue Apr 01 09:12:06 GMT 2025","passed","Tue Apr 01 09:12:08 GMT 2025","Login Page","","",""
